2026-03-30 19:42:57,692 | ====================================================
2026-03-30 19:42:57,694 | CONFIGURAÇÃO DO SISTEMA
2026-03-30 19:42:57,694 | ====================================================
2026-03-30 19:42:57,694 | Sistema operacional: Windows 11
2026-03-30 19:42:57,694 | CPU: Intel64 Family 6 Model 165 Stepping 2, GenuineIntel
2026-03-30 19:42:57,694 | Núcleos físicos: 4
2026-03-30 19:42:57,694 | Núcleos lógicos: 8
2026-03-30 19:42:57,694 | Frequência CPU: 2496.0 MHz
2026-03-30 19:42:57,694 | Memória RAM: 7.84 GB
2026-03-30 19:42:57,694 | GPU: não detectada
2026-03-30 19:42:57,694 | 
2026-03-30 19:42:57,695 | ====================================================
2026-03-30 19:42:57,695 | INÍCIO DA EXECUÇÃO DA PIPELINE
2026-03-30 19:42:57,695 | ====================================================
2026-03-30 19:42:57,695 | Início: 30/03/2026 19:42:57
2026-03-30 19:42:57,695 | 
2026-03-30 19:42:57,695 | Inicio da execução
2026-03-30 19:43:10,892 | Total textos: 29000
2026-03-30 19:43:10,893 | Idiomas: 29
2026-03-30 19:43:10,894 | Experimento 1 espaços
2026-03-30 19:43:14,136 | Execução 1/10
2026-03-30 19:46:41,038 | Acuracia execucao 1: 0.6674
2026-03-30 19:46:41,038 | Execução 2/10
2026-03-30 19:50:19,481 | Acuracia execucao 2: 0.6083
2026-03-30 19:50:19,481 | Execução 3/10
2026-03-30 19:55:37,574 | Acuracia execucao 3: 0.6126
2026-03-30 19:55:37,574 | Execução 4/10
2026-03-30 19:59:16,178 | Acuracia execucao 4: 0.7079
2026-03-30 19:59:16,178 | Execução 5/10
2026-03-30 20:04:34,178 | Acuracia execucao 5: 0.7193
2026-03-30 20:04:34,178 | Execução 6/10
2026-03-30 20:08:11,760 | Acuracia execucao 6: 0.6445
2026-03-30 20:08:11,761 | Execução 7/10
2026-03-30 20:12:37,662 | Acuracia execucao 7: 0.6109
2026-03-30 20:12:37,663 | Execução 8/10
2026-03-30 20:17:36,658 | Acuracia execucao 8: 0.7214
2026-03-30 20:17:36,658 | Execução 9/10
2026-03-30 20:20:32,011 | Acuracia execucao 9: 0.6088
2026-03-30 20:20:32,011 | Execução 10/10
2026-03-30 20:25:31,317 | Acuracia execucao 10: 0.7441
2026-03-30 20:25:31,318 | Acuracia media 1: 0.6645
2026-03-30 20:25:31,319 | Experimento 5 espaços
2026-03-30 20:25:34,782 | Execução 1/10
2026-03-30 20:32:03,100 | Acuracia execucao 1: 0.7078
2026-03-30 20:32:03,101 | Execução 2/10
2026-03-30 20:37:38,341 | Acuracia execucao 2: 0.7736
2026-03-30 20:37:38,342 | Execução 3/10
2026-03-30 20:43:35,110 | Acuracia execucao 3: 0.8212
2026-03-30 20:43:35,110 | Execução 4/10
2026-03-30 20:49:31,955 | Acuracia execucao 4: 0.7791
2026-03-30 20:49:31,955 | Execução 5/10
2026-03-30 20:55:31,111 | Acuracia execucao 5: 0.8102
2026-03-30 20:55:31,111 | Execução 6/10
2026-03-30 21:00:39,508 | Acuracia execucao 6: 0.7540
2026-03-30 21:00:39,508 | Execução 7/10
2026-03-30 21:06:36,837 | Acuracia execucao 7: 0.7997
2026-03-30 21:06:36,838 | Execução 8/10
2026-03-30 21:10:52,334 | Acuracia execucao 8: 0.6736
2026-03-30 21:10:52,334 | Execução 9/10
2026-03-30 21:15:56,899 | Acuracia execucao 9: 0.7341
2026-03-30 21:15:56,900 | Execução 10/10
2026-03-30 21:22:22,297 | Acuracia execucao 10: 0.8003
2026-03-30 21:22:22,298 | Acuracia media 5: 0.7654
2026-03-30 21:22:22,298 | Experimento 7 espaços
2026-03-30 21:22:27,114 | Execução 1/10
2026-03-30 21:28:54,178 | Acuracia execucao 1: 0.7469
2026-03-30 21:28:54,181 | Execução 2/10
2026-03-30 21:35:45,990 | Acuracia execucao 2: 0.8267
2026-03-30 21:35:45,990 | Execução 3/10
2026-03-30 21:43:04,681 | Acuracia execucao 3: 0.8290
2026-03-30 21:43:04,681 | Execução 4/10
2026-03-30 21:47:44,818 | Acuracia execucao 4: 0.7079
2026-03-30 21:47:44,819 | Execução 5/10
2026-03-30 21:54:39,940 | Acuracia execucao 5: 0.8452
2026-03-30 21:54:39,941 | Execução 6/10
2026-03-30 22:01:17,960 | Acuracia execucao 6: 0.8179
2026-03-30 22:01:17,961 | Execução 7/10
2026-03-30 22:08:02,553 | Acuracia execucao 7: 0.8262
2026-03-30 22:08:02,553 | Execução 8/10
2026-03-30 22:13:24,870 | Acuracia execucao 8: 0.7467
2026-03-30 22:13:24,871 | Execução 9/10
2026-03-30 22:18:34,615 | Acuracia execucao 9: 0.7019
2026-03-30 22:18:34,616 | Execução 10/10
2026-03-30 22:23:48,495 | Acuracia execucao 10: 0.7022
2026-03-30 22:23:48,498 | Acuracia media 7: 0.7751
2026-03-30 22:23:48,499 | Experimento 12 espaços
2026-03-30 22:23:55,430 | Execução 1/10
2026-03-30 22:29:43,520 | Acuracia execucao 1: 0.7974
2026-03-30 22:29:43,521 | Execução 2/10
2026-03-30 22:35:25,509 | Acuracia execucao 2: 0.5007
2026-03-30 22:35:25,509 | Execução 3/10
